,H0_array,GW170817,combined
0,20.0,2.7504392733187563e-23,2.750439273318769e-23
1,21.21212121212121,2.7954257438804706e-21,2.795425743880466e-21
2,22.424242424242426,1.907516699893167e-19,1.9075166998931723e-19
3,23.636363636363637,8.984143754373038e-18,8.984143754373036e-18
4,24.848484848484848,2.9975798266274006e-16,2.99757982662741e-16
5,26.060606060606062,7.27095904912952e-15,7.270959049129547e-15
6,27.272727272727273,1.315067043240817e-13,1.315067043240812e-13
7,28.484848484848484,1.8172918708387325e-12,1.81729187083873e-12
8,29.696969696969695,1.9636105655074726e-11,1.9636105655074713e-11
9,30.90909090909091,1.6952944448195213e-10,1.695294444819524e-10
10,32.121212121212125,1.193259653429651e-09,1.1932596534296496e-09
11,33.333333333333336,6.975800224249908e-09,6.975800224249899e-09
12,34.54545454545455,3.4453443628703796e-08,3.445344362870383e-08
13,35.75757575757576,1.460253877098767e-07,1.460253877098768e-07
14,36.96969696969697,5.38717239443403e-07,5.38717239443403e-07
15,38.18181818181819,1.7524716168116303e-06,1.7524716168116296e-06
16,39.39393939393939,5.086295276117478e-06,5.086295276117483e-06
17,40.60606060606061,1.3311839664771088e-05,1.33118396647711e-05
18,41.81818181818182,3.172108551535297e-05,3.172108551535294e-05
19,43.03030303030303,6.94254466794426e-05,6.942544667944257e-05
20,44.24242424242424,0.00014066064372802604,0.00014066064372802596
21,45.45454545454545,0.00026570595945126234,0.0002657059594512624
22,46.66666666666667,0.0004709735087834359,0.0004709735087834357
23,47.878787878787875,0.0007879145542102247,0.0007879145542102253
24,49.09090909090909,0.001250622191721704,0.0012506221917217032
25,50.303030303030305,0.0018923209306348054,0.0018923209306348058
26,51.515151515151516,0.002741226620735348,0.0027412266207353453
27,52.72727272727273,0.003816444818498177,0.003816444818498176
28,53.93939393939394,0.005124599868464898,0.005124599868464898
29,55.151515151515156,0.006657753059107578,0.006657753059107581
30,56.36363636363637,0.008392923298477266,0.008392923298477274
31,57.57575757575758,0.010293237884683303,0.010293237884683311
32,58.78787878787879,0.01231048304325044,0.012310483043250449
33,60.0,0.014388642005755176,0.014388642005755164
34,61.21212121212121,0.016467923823645016,0.01646792382364502
35,62.42424242424242,0.01848879425740927,0.01848879425740928
36,63.63636363636364,0.02039559898816929,0.020395598988169276
37,64.84848484848484,0.02213948950465578,0.022139489504655763
38,66.06060606060606,0.023680494359380008,0.02368049435937998
39,67.27272727272728,0.02498870035263778,0.024988700352637786
40,68.48484848484848,0.026044605209850136,0.02604460520985016
41,69.69696969696969,0.02683876927013953,0.02683876927013951
42,70.9090909090909,0.027370928978183273,0.027370928978183277
43,72.12121212121212,0.027648744070151977,0.027648744070151977
44,73.33333333333334,0.02768633993447108,0.027686339934471095
45,74.54545454545455,0.027502783669937726,0.02750278366993772
46,75.75757575757575,0.027120603133421902,0.02712060313342188
47,76.96969696969697,0.026564427636871713,0.026564427636871685
48,78.18181818181819,0.025859800446669457,0.025859800446669464
49,79.3939393939394,0.025032188763836144,0.025032188763836144
50,80.60606060606061,0.02410619735522528,0.024106197355225283
51,81.81818181818181,0.023104978223387564,0.02310497822338756
52,83.03030303030303,0.022049818166208338,0.022049818166208345
53,84.24242424242425,0.020959881712116216,0.020959881712116196
54,85.45454545454545,0.019852083600114576,0.01985208360011458
55,86.66666666666667,0.018741065283781114,0.018741065283781118
56,87.87878787878788,0.017639251378506294,0.017639251378506294
57,89.0909090909091,0.016556964470252827,0.016556964470252823
58,90.30303030303031,0.015502579698730354,0.015502579698730349
59,91.51515151515152,0.014482703679811585,0.014482703679811573
60,92.72727272727273,0.01350236538237497,0.013502365382374967
61,93.93939393939394,0.012565209371777719,0.012565209371777722
62,95.15151515151516,0.0116736842986172,0.0116736842986172
63,96.36363636363636,0.010829221596376807,0.010829221596376814
64,97.57575757575758,0.010032401077625552,0.01003240107762556
65,98.7878787878788,0.009283101488422178,0.009283101488422173
66,100.0,0.008580635146176933,0.008580635146176933
67,101.21212121212122,0.007923866580372469,0.007923866580372467
68,102.42424242424242,0.007311315669862294,0.0073113156698623
69,103.63636363636364,0.006741246141175939,0.006741246141175938
70,104.84848484848484,0.0062117406703243476,0.0062117406703243545
71,106.06060606060606,0.005720763504006143,0.005720763504006146
72,107.27272727272728,0.005266212483858052,0.0052662124838580545
73,108.48484848484848,0.004845961199043206,0.004845961199043207
74,109.6969696969697,0.004457892857382538,0.004457892857382536
75,110.9090909090909,0.004099926925788171,0.004099926925788168
76,112.12121212121212,0.0037700396237715598,0.0037700396237715633
77,113.33333333333334,0.0034662792363656407,0.0034662792363656415
78,114.54545454545455,0.003186777099558096,0.003186777099558095
79,115.75757575757576,0.0029297550181142116,0.0029297550181142124
80,116.96969696969697,0.0026935297658513355,0.0026935297658513364
81,118.18181818181819,0.002476515236371155,0.0024765152363711573
82,119.39393939393939,0.0022772227249851945,0.0022772227249851945
83,120.60606060606061,0.0020942597496706643,0.0020942597496706626
84,121.81818181818183,0.001926327753110737,0.0019263277531107372
85,123.03030303030303,0.001772218970233244,0.001772218970233244
86,124.24242424242425,0.001630812695510872,0.0016308126955108702
87,125.45454545454545,0.0015010711417443197,0.0015010711417443201
88,126.66666666666667,0.0013820350448818357,0.001382035044881835
89,127.87878787878788,0.0012728191386004162,0.0012728191386004158
90,129.0909090909091,0.0011726075963916164,0.0011726075963916156
91,130.3030303030303,0.00108064951663395,0.0010806495166339495
92,131.5151515151515,0.0009962545086070742,0.0009962545086070742
93,132.72727272727275,0.0009187884218979,0.0009187884218978993
94,133.93939393939394,0.0008476692502044966,0.0008476692502044966
