H0,GW170817_NGC4993,GW170817_ESO508-24,GW190425_FRB20190425A
20.0,5.0114247147030365e-53,4.7874203945781384e-91,0.0
21.21212121212121,1.6526499238051686e-45,7.252842929949639e-79,0.0
22.424242424242426,2.6301837928457545e-39,9.292276351336163e-69,0.0
23.636363636363637,3.808545676999608e-34,2.7108012107601236e-60,0.0
24.848484848484848,8.103803483316009e-30,3.7955905159604677e-53,0.0
26.060606060606062,3.65855813388116e-26,4.528045657662469e-47,7.673333564608683e-07
27.272727272727273,4.663179468175258e-23,7.205354737399918e-42,3.8457859794703275e-06
28.484848484848484,2.098638316492054e-20,2.170272865791679e-37,1.4942262585499167e-05
29.696969696969695,3.984617417594987e-18,1.6367137353865893e-33,4.706377647392271e-05
30.90909090909091,3.679255025550212e-16,3.866110926028188e-30,0.0001245196667717319
32.121212121212125,1.8539435197019226e-14,3.4286993390759324e-27,0.00028482269261743157
33.333333333333336,5.599844729012875e-13,1.3236555100217345e-24,0.0005764872909589806
34.54545454545455,1.0936872900513207e-11,2.5132371064067326e-22,0.0010522455488335754
35.75757575757576,1.4726871720190174e-10,2.5941783228574155e-20,0.0017593629551545702
36.96969696969697,1.440770914044217e-09,1.5844135531977817e-18,0.002729833293286599
38.18181818181819,1.069770151312099e-08,6.138243621179254e-17,0.003973244039320868
39.39393939393939,6.261654409608004e-08,1.6003624984620328e-15,0.005473270843306097
40.60606060606061,2.9775898459727174e-07,2.9558486267712043e-14,0.007191172566869297
41.81818181818182,1.182007020553675e-06,4.0282277477932077e-13,0.009068240908293846
43.03030303030303,4.007682854357936e-06,4.20953913183118e-12,0.01103606183033321
44.24242424242424,1.1811438770532639e-05,3.475513896255965e-11,0.013022332759293886
45.45454545454545,3.0845533035286e-05,2.332311961722428e-10,0.014958046162255533
46.66666666666667,7.227764382268235e-05,1.2996679197431236e-09,0.016780703165171794
47.878787878787875,0.00015390006513327177,6.151435467380719e-09,0.018441780088883548
49.09090909090909,0.000301431530567139,2.5119209277417907e-08,0.019903657406949684
50.303030303030305,0.0005473507682051224,9.001516365217282e-08,0.021141666544682008
51.515151515151516,0.0009281570668202983,2.869298933141605e-07,0.022145709122378305
52.72727272727273,0.0014838543177296865,8.218265052042714e-07,0.022913536642031867
53.93939393939394,0.0022507262477668563,2.1423943567592425e-06,0.02345226066855699
55.151515151515156,0.0032499011000012715,5.127388182040695e-06,0.023776144692967953
56.36363636363637,0.004493449767878716,1.133849024716877e-05,0.023899728517838493
57.57575757575758,0.005981964443626919,2.338989197365029e-05,0.02384286941324595
58.78787878787879,0.007697364693252718,4.5308847224552464e-05,0.02363199864319289
